Sample UID,Observation UID,Sample Site UID,Dummy Sample,Circulation,Category Group Name,Project Number,Project Title,Project Region,Project Group Name,Campaign Name,Sample Site Name,Latitude,Longitude,Altitude,WMO Code,Country ISO Code,Sample Site Type Name,Sample Name,Sample Date,Sample Date Accuracy,Lith Adj Code,Lith Adj Name,Lith Noun Code,Lith Noun Name,Period From,Period To,Min Depth,Max Depth,Sampling Method Code,Sampling Method Name,Sample Media Type Code,Sample Media Type Name,Sample Info,Measurand Symbol,Observation Method Code,Observation Method Name,Measurand Prefix,Measurand Amount,Measurand Uncertainty,Measurand Unit,Observation Date,Observation Date Accuracy,Field Preparation Method Name,Data Provider Code,Data Provider Name,Quality Flag Code,Quality Flag Name
329bcd3d-7f6a-4c53-918f-9e85b06df041,a7474620-19f2-4404-be9a-9894dc0a41ee,2f5eb618-1af3-4b54-9404-f79b77fe150c,FALSE,Public,Precipitation,GNIP/M/US/16,GNIP/USA (UVU),USA (Orem),GNIP - Monthly,Historic,OREM (UTAH VALLEY UNIV.),40.2778,-111.7148,1401,7257201,US,Precipitation collectors - standard - open funnel,202111,2021-11-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-11-01T00:00:00.0000000+01:00,2021-11-30T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPM,"Rain & Snow (""mixed"")",,H2,LAS,Laser Absorption Spectroscopy,,-135.1,,‰ vs VSMOW-SLAP,,None,,1470,"Utah Valley University, Dept. of Earth Science",,
724befa2-d3f0-469a-a3f9-8d27540f4015,919363d2-9308-4212-9087-0ae6504dfe43,2f5eb618-1af3-4b54-9404-f79b77fe150c,FALSE,Public,Precipitation,GNIP/M/US/16,GNIP/USA (UVU),USA (Orem),GNIP - Monthly,Historic,OREM (UTAH VALLEY UNIV.),40.2778,-111.7148,1401,7257201,US,Precipitation collectors - standard - open funnel,202112,2021-12-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-12-01T00:00:00.0000000+01:00,2021-12-31T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPM,"Rain & Snow (""mixed"")",,H2,LAS,Laser Absorption Spectroscopy,,-169.7,,‰ vs VSMOW-SLAP,,None,,1470,"Utah Valley University, Dept. of Earth Science",,
cef5fc70-48f5-48b0-b4a8-a08404c81bae,24315f99-73e1-4b2f-83ed-928f5aef08de,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202101,2021-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-01-01T00:00:00.0000000+01:00,2021-01-31T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-23.7,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
45efafee-ec29-4c74-ac06-f578bb39e5d6,3fba1253-241a-4853-b488-457f6416dfb6,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202102,2021-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-02-01T00:00:00.0000000+01:00,2021-02-28T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-30.5,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
ae43d97b-e982-4885-9adf-dd0d9b351fae,0292662f-02e2-4b4c-91db-be0b2f96df99,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202103,2021-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-03-01T00:00:00.0000000+01:00,2021-03-31T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-13.8,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
bd32ea22-021b-4136-b507-a16a99aed563,05488794-1ca4-4306-a71a-6fca2ba08ffa,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202104,2021-04-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,2021-04-01T00:00:00.0000000+02:00,2021-04-30T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,5.5,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
5a7c8cff-5e8b-43d4-ac3e-b975bb602f26,bac9ec85-59f8-4742-b37c-d1c5748cf164,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202105,2021-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,2021-05-01T00:00:00.0000000+02:00,2021-05-31T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-37.6,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
db45c1c1-e9cf-4cf6-9edb-4b7b06dd9f33,83a37d4a-0198-4100-941a-2239987a981d,3b1830d6-b0be-4310-a6eb-873b197a35a6,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,CHILECITO,-29.15241944,-67.43877778,981,8721300,AR,Precipitation collectors - standard - open funnel,202106,2021-06-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,2021-06-01T00:00:00.0000000+02:00,2021-06-30T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-51.9,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
a7188d9b-2875-4b1c-ab0a-84bdea0256a5,64e19137-b13c-4533-a7c1-295599551a76,3a016e76-dd6b-4257-9eef-4c738ef061a2,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,MENDOZA (UNCuyo),-32.87847222,-68.87741667,853,8742001,AR,Precipitation collectors - standard - open funnel,202101,2021-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-01-01T00:00:00.0000000+01:00,2021-01-31T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-83.4,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
263f2e1e-0588-4527-b732-c4cdd785f2bb,c3fecafc-b26c-4fd6-833a-0e53c51d7ea3,3a016e76-dd6b-4257-9eef-4c738ef061a2,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,MENDOZA (UNCuyo),-32.87847222,-68.87741667,853,8742001,AR,Precipitation collectors - standard - open funnel,202102,2021-02-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-02-01T00:00:00.0000000+01:00,2021-02-28T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-19.6,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
6724a4bf-f194-4b23-a60c-5f97b64e02ec,589ec2aa-02b0-4225-ba73-83234bec42a4,3a016e76-dd6b-4257-9eef-4c738ef061a2,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,MENDOZA (UNCuyo),-32.87847222,-68.87741667,853,8742001,AR,Precipitation collectors - standard - open funnel,202103,2021-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-03-01T00:00:00.0000000+01:00,2021-03-31T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-12.6,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
d9fe3564-1742-430f-a168-65f3f9c7f0b8,b9eaeb3b-2e61-4086-82c3-22e87378ca6c,3a016e76-dd6b-4257-9eef-4c738ef061a2,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,MENDOZA (UNCuyo),-32.87847222,-68.87741667,853,8742001,AR,Precipitation collectors - standard - open funnel,202105,2021-05-15T00:00:00.0000000+02:00,Month,,,XXXX,Lithology Undefined,2021-05-01T00:00:00.0000000+02:00,2021-05-31T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,,H2,LAS,Laser Absorption Spectroscopy,,-36.2,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
4cb41cfd-2679-4393-b8cc-bf78af7fd0a1,df3abac5-ac74-409f-b68d-6990c47212db,13beb11c-a3ad-4719-965f-5668ae0f40f9,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,BARILOCHE,-41.15,-71.33,790,8776501,AR,Precipitation collectors - unknown,202101,2021-01-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-01-01T00:00:00.0000000+01:00,2021-01-31T00:00:00.0000000+01:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,air temperature reported without decimal places.,H2,LAS,Laser Absorption Spectroscopy,,-40,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
94cdb222-9bdd-4ff9-b0bd-59cc6d96fa5e,bbfef943-b1b5-4a55-bf8b-9a4af34ee56b,13beb11c-a3ad-4719-965f-5668ae0f40f9,FALSE,Public,Precipitation,GNIP/M/AR/10,GNIP/Argentina (UMP),Argentina (various sites),GNIP - Monthly,Historic,BARILOCHE,-41.15,-71.33,790,8776501,AR,Precipitation collectors - unknown,202103,2021-03-15T00:00:00.0000000+01:00,Month,,,XXXX,Lithology Undefined,2021-03-01T00:00:00.0000000+01:00,2021-03-31T00:00:00.0000000+02:00,,,COSM,Composite Sampling - Monthly,WPR,Rain,air temperature reported without decimal places. No precipitation amount reported but isotopic measurement available..,H2,LAS,Laser Absorption Spectroscopy,,-53.3,,‰ vs VSMOW-SLAP,,None,,354,Instituto de Geología de Costas y del Cuaternario,,
