Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              5,,,
Time                        ,,          21.38,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5613.,meters,,
High resolution CTD - Bottle,,        776899.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954071,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2313,decimal degrees,,
Longitude                   ,,       156.8172,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,           5.77,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5659.,meters,,
High resolution CTD - Bottle,,        776911.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954072,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2537,decimal degrees,,
Longitude                   ,,       157.6378,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,          14.35,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5764.,meters,,
High resolution CTD - Bottle,,        776935.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954073,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2623,decimal degrees,,
Longitude                   ,,       158.4090,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              6,,,
Time                        ,,          23.15,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5781.,meters,,
High resolution CTD - Bottle,,        776953.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954074,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2663,decimal degrees,,
Longitude                   ,,       159.2183,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,           8.65,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3814.,meters,,
High resolution CTD - Bottle,,        776968.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954075,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2532,decimal degrees,,
Longitude                   ,,       160.0208,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              7,,,
Time                        ,,          16.27,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5471.,meters,,
High resolution CTD - Bottle,,        776975.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954076,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2543,decimal degrees,,
Longitude                   ,,       160.7963,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,           1.25,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          4932.,meters,,
High resolution CTD - Bottle,,        776981.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954077,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2562,decimal degrees,,
Longitude                   ,,       161.5705,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,           9.63,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          3483.,meters,,
High resolution CTD - Bottle,,        776990.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954078,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2628,decimal degrees,,
Longitude                   ,,       162.4173,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              8,,,
Time                        ,,          17.53,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5418.,meters,,
High resolution CTD - Bottle,,        776995.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954079,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2430,decimal degrees,,
Longitude                   ,,       163.2502,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,           2.10,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5390.,meters,,
High resolution CTD - Bottle,,        777003.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954080,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.2540,decimal degrees,,
Longitude                   ,,       164.0297,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          10.50,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5756.,meters,,
High resolution CTD - Bottle,,        777014.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954081,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47330       ,,,
Originators Cruise ID       ,,49UP20210827_1 ,,,
Latitude                    ,,        24.0103,decimal degrees,,
Longitude                   ,,       164.9882,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,              9,,,
Time                        ,,          19.95,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6017.,meters,,
High resolution CTD - Bottle,,        777022.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954082,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        23.9942,decimal degrees,,
Longitude                   ,,       164.9843,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             28,,,
Time                        ,,           9.57,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6033.,meters,,
High resolution CTD - Bottle,,       1094542.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954083,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2645,decimal degrees,,
Longitude                   ,,       165.6403,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             28,,,
Time                        ,,          18.25,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5920.,meters,,
High resolution CTD - Bottle,,       1094550.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954084,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2807,decimal degrees,,
Longitude                   ,,       166.4937,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             29,,,
Time                        ,,           3.27,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5662.,meters,,
High resolution CTD - Bottle,,       1094561.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954085,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2585,decimal degrees,,
Longitude                   ,,       167.2427,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             29,,,
Time                        ,,          11.80,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5612.,meters,,
High resolution CTD - Bottle,,       1094571.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954086,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2657,decimal degrees,,
Longitude                   ,,       167.9880,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             29,,,
Time                        ,,          20.07,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5948.,meters,,
High resolution CTD - Bottle,,       1094583.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954087,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2530,decimal degrees,,
Longitude                   ,,       168.7410,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             30,,,
Time                        ,,           4.27,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5920.,meters,,
High resolution CTD - Bottle,,       1094594.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954088,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2605,decimal degrees,,
Longitude                   ,,       169.5013,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             30,,,
Time                        ,,          12.37,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          6065.,meters,,
High resolution CTD - Bottle,,       1094603.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954089,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2653,decimal degrees,,
Longitude                   ,,       170.3125,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,              9,,,
Day                         ,,             30,,,
Time                        ,,          21.57,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5764.,meters,,
High resolution CTD - Bottle,,       1094609.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954090,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2450,decimal degrees,,
Longitude                   ,,       171.1622,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              1,,,
Time                        ,,           6.23,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5798.,meters,,
High resolution CTD - Bottle,,       1203924.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954091,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2402,decimal degrees,,
Longitude                   ,,       171.9040,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              1,,,
Time                        ,,          14.63,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5776.,meters,,
High resolution CTD - Bottle,,       1203930.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954092,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2478,decimal degrees,,
Longitude                   ,,       172.7230,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              1,,,
Time                        ,,          23.28,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5774.,meters,,
High resolution CTD - Bottle,,       1203938.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954093,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2613,decimal degrees,,
Longitude                   ,,       173.5667,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              2,,,
Time                        ,,           8.08,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5760.,meters,,
High resolution CTD - Bottle,,       1203947.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954094,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2698,decimal degrees,,
Longitude                   ,,       174.3903,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              2,,,
Time                        ,,          16.75,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5681.,meters,,
High resolution CTD - Bottle,,       1203950.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954095,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2610,decimal degrees,,
Longitude                   ,,       175.1463,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              3,,,
Time                        ,,           1.23,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5126.,meters,,
High resolution CTD - Bottle,,       1203957.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954096,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2637,decimal degrees,,
Longitude                   ,,       175.9965,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              3,,,
Time                        ,,           9.72,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5736.,meters,,
High resolution CTD - Bottle,,       1203972.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
scale               ,Salinity,           202.,WOD code,Salinity: PSS78,
CAST                        ,,       21954097,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2735,decimal degrees,,
Longitude                   ,,       176.7347,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              3,,,
Time                        ,,          18.48,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
Platform                    ,,          8889.,OCL code,RYOFU MARU (Call sign JGQH; operation date: 06.1995 to present),
Cast/Tow Number             ,,             1.,,,
Bottom depth                ,,          5706.,meters,,
High resolution CTD - Bottle,,       1203979.,,,
probe_type                  ,,             7.,OCL_code,bottle/rosette/net,
Database origin             ,,            10.,WOD code,WOCE/CCHDO,
Originators flag set to use ,,             1.,WOD code,WOCE,
scale            ,Temperature,           103.,WOD code,Temperature: ITS-90,
Instrument       ,Temperature,             4.,WOD code,CTD: TYPE UNKNOWN,
CAST                        ,,       21954098,WOD Unique Cast Number,WOD code,
NODC Cruise ID              ,,JP-47347       ,,,
Originators Cruise ID       ,,49UP20210920_1 ,,,
Latitude                    ,,        24.2660,decimal degrees,,
Longitude                   ,,       177.5713,decimal degrees,,
Year                        ,,           2021,,,
Month                       ,,             10,,,
Day                         ,,              4,,,
Time                        ,,           3.05,decimal hours (UT),,
Accession Number            ,,        248064.,NODC code,,
